source_key,network_code,network_name,network_color,sku,product_name,slug,brand,category,deal_type,monthly_price,cash_price,upfront_cost,contract_months,data_mb,voice_minutes,sms_count,speed_mbps,start_at,expires_at,stock_status,source_document,administrator_notes,verified_at,terms_url,published,featured,image_url,description,use_context,specifications_json
mtn:202607ebu1159,mtn,MTN,#FFD100,202607EBU1159,Galaxy Z Fold8 Ultra (512GB),galaxy-z-fold8-ultra-512gb,Galaxy,smartphone,device_contract,1799,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202607EBU1159; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business M Monthly subscription: 1799,business,"{""deal_id"":""202607EBU1159"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business M"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202607ebu1071,mtn,MTN,#FFD100,202607EBU1071,Galaxy Z Fold8 (256GB),galaxy-z-fold8-256gb,Galaxy,smartphone,device_contract,1599,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202607EBU1071; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business M Monthly subscription: 1599,business,"{""deal_id"":""202607EBU1071"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business M"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:2026ebu00008,mtn,MTN,#FFD100,2026EBU00008,Sim only,sim-only,Sim,sim_only,sim_only,1359,,,24,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 2026EBU00008; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business XL Monthly subscription: 1359,business,"{""deal_id"":""2026EBU00008"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business XL"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:2026ebu00007,mtn,MTN,#FFD100,2026EBU00007,Sim only,sim-only,Sim,sim_only,sim_only,879,,,24,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 2026EBU00007; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business L+ Monthly subscription: 879,business,"{""deal_id"":""2026EBU00007"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business L+"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202607ebu1501,mtn,MTN,#FFD100,202607EBU1501,Sim only,sim-only,Sim,sim_only,sim_only,579,,,24,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202607EBU1501; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business L Monthly subscription: 579,business,"{""deal_id"":""202607EBU1501"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business L"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:2026ebu00005,mtn,MTN,#FFD100,2026EBU00005,Sim only,sim-only,Sim,sim_only,sim_only,619,,,24,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 2026EBU00005; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business ML Monthly subscription: 619,business,"{""deal_id"":""2026EBU00005"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business ML"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:2026ebu00004,mtn,MTN,#FFD100,2026EBU00004,Sim only,sim-only,Sim,sim_only,sim_only,499,,,24,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 2026EBU00004; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business M+ Monthly subscription: 499,business,"{""deal_id"":""2026EBU00004"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business M+"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202607ebu1500,mtn,MTN,#FFD100,202607EBU1500,Sim only,sim-only,Sim,sim_only,sim_only,379,,,24,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202607EBU1500; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business M Monthly subscription: 379,business,"{""deal_id"":""202607EBU1500"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business M"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:2026ebu00002,mtn,MTN,#FFD100,2026EBU00002,Sim only,sim-only,Sim,sim_only,sim_only,379,,,24,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 2026EBU00002; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business SM Monthly subscription: 379,business,"{""deal_id"":""2026EBU00002"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business SM"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:2026ebu00001,mtn,MTN,#FFD100,2026EBU00001,Sim only,sim-only,Sim,sim_only,sim_only,235,,,24,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 2026EBU00001; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business S+ Monthly subscription: 235,business,"{""deal_id"":""2026EBU00001"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business S+"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:2026ebu00000,mtn,MTN,#FFD100,2026EBU00000,Sim only,sim-only,Sim,sim_only,sim_only,175,,,24,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 2026EBU00000; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business S Monthly subscription: 175,business,"{""deal_id"":""2026EBU00000"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business S"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202603ebu1100,mtn,MTN,#FFD100,202603EBU1100,Sim Only,sim-only,Sim,sim_only,sim_only,229,,,24,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202603EBU1100; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business Data+ L (20GB) Monthly subscription: 229,business,"{""deal_id"":""202603EBU1100"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business Data+ L (20GB)"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:2026ebu00325,mtn,MTN,#FFD100,2026EBU00325,iPhone 17 Pro Max (256GB),iphone-17-pro-max-256gb,iPhone,smartphone,device_contract,1379,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 2026EBU00325; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business M+ Monthly subscription: 1379,business,"{""deal_id"":""2026EBU00325"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business M+"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:2026ebu00324,mtn,MTN,#FFD100,2026EBU00324,iPhone 17 Pro (256GB),iphone-17-pro-256gb,iPhone,smartphone,device_contract,1279,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 2026EBU00324; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business M+ Monthly subscription: 1279,business,"{""deal_id"":""2026EBU00324"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business M+"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:2026ebu00323,mtn,MTN,#FFD100,2026EBU00323,iPhone 17 (256GB),iphone-17-256gb,iPhone,smartphone,device_contract,929,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 2026EBU00323; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business SM Monthly subscription: 929,business,"{""deal_id"":""2026EBU00323"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business SM"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202604ebu1226,mtn,MTN,#FFD100,202604EBU1226,iPhone Air (256GB),iphone-air-256gb,iPhone,smartphone,device_contract,879,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202604EBU1226; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business SM Monthly subscription: 879,business,"{""deal_id"":""202604EBU1226"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business SM"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202607ebu1026,mtn,MTN,#FFD100,202607EBU1026,Galaxy Z Flip8 (256GB),galaxy-z-flip8-256gb,Galaxy,smartphone,device_contract,1029,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202607EBU1026; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business SM Monthly subscription: 1029,business,"{""deal_id"":""202607EBU1026"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business SM"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202607ebu1030,mtn,MTN,#FFD100,202607EBU1030,Galaxy Z Flip8 (256GB),galaxy-z-flip8-256gb,Galaxy,smartphone,device_contract,1249,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202607EBU1030; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business ML Monthly subscription: 1249,business,"{""deal_id"":""202607EBU1030"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business ML"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202601ebu1126,mtn,MTN,#FFD100,202601EBU1126,OPPO Reno 15 Pro,oppo-reno-15-pro,Oppo,smartphone,device_contract,929,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202601EBU1126; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business SM Monthly subscription: 929,business,"{""deal_id"":""202601EBU1126"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business SM"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202601ebu1130,mtn,MTN,#FFD100,202601EBU1130,OPPO Reno 15 Pro,oppo-reno-15-pro,Oppo,smartphone,device_contract,1149,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202601EBU1130; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business ML Monthly subscription: 1149,business,"{""deal_id"":""202601EBU1130"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business ML"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202601ebu1026,mtn,MTN,#FFD100,202601EBU1026,Honor X9d,honor-x9d,Honor,smartphone,device_contract,619,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202601EBU1026; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business SM Monthly subscription: 619,business,"{""deal_id"":""202601EBU1026"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business SM"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202601ebu1030,mtn,MTN,#FFD100,202601EBU1030,Honor X9d,honor-x9d,Honor,smartphone,device_contract,839,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202601EBU1030; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business ML Monthly subscription: 839,business,"{""deal_id"":""202601EBU1030"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business ML"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202601ebu1370,mtn,MTN,#FFD100,202601EBU1370,Vivo Y31 (5G),vivo-y31-5g,Vivo,router,device_contract,569,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202601EBU1370; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business SM Monthly subscription: 569,business,"{""deal_id"":""202601EBU1370"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business SM"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202601ebu1374,mtn,MTN,#FFD100,202601EBU1374,Vivo Y31 (5G),vivo-y31-5g,Vivo,router,device_contract,789,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202601EBU1374; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business ML Monthly subscription: 789,business,"{""deal_id"":""202601EBU1374"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business ML"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202603ebu1826,mtn,MTN,#FFD100,202603EBU1826,iPhone 17e (256GB),iphone-17e-256gb,iPhone,smartphone,device_contract,759,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202603EBU1826; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business SM Monthly subscription: 759,business,"{""deal_id"":""202603EBU1826"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business SM"",""freebies_device"":"""",""freebies_plan"":""""}"
mtn:202603ebu1830,mtn,MTN,#FFD100,202603EBU1830,iPhone 17e (256GB),iphone-17e-256gb,iPhone,smartphone,device_contract,979,,,36,,,,,2026-08-07T00:00:00+00:00,2026-09-06T00:00:00+00:00,in_stock,C:\Users\CC KEMPTON\Downloads\FW___#Business_Promos___August_2026__&_Training_Date\August 2026 - EBU Trader Cheat Sheet.xlsx,Imported from MTN promo source 202603EBU1830; contracts only,2026-08-08T08:48:31+00:00,,true,false,,Made For Business ML Monthly subscription: 979,business,"{""deal_id"":""202603EBU1830"",""source"":""C:\\Users\\CC KEMPTON\\Downloads\\FW___#Business_Promos___August_2026__&_Training_Date\\August 2026 - EBU Trader Cheat Sheet.xlsx"",""price_plan"":""Made For Business ML"",""freebies_device"":"""",""freebies_plan"":""""}"
