source_key,network_code,network_name,network_color,sku,product_name,slug,brand,category,deal_type,monthly_price,cash_price,upfront_cost,contract_months,data_mb,voice_minutes,sms_count,speed_mbps,start_at,expires_at,stock_status,source_document,administrator_notes,verified_at,terms_url,published,featured,image_url,description,use_context,specifications_json
vodacom:DV6G96DAAB,vodacom,Vodacom,#E60000,DV6G96DAAB,Apple iPhone 13 128GB 5G (Pre-Owned) + Apple iPhone 13 128GB 5G (Pre-Owned) + Free Charger + Free Charger,dv6g96daab,Apple,smartphone,device_contract,599,,,36,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Imported from Vodacom public deals GraphQL snapshot on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/1/0/104073023_front_back.png,"Apple iPhone 13 pre-owned double deal with free chargers.",both,"{""package"":""Red Flexi 170"",""tariff"":""170"",""device_installment"":""429"",""source_sku"":""100022408""}"
vodacom:DV6G96DABH,vodacom,Vodacom,#E60000,DV6G96DABH,100GB Data SIM (Top Up),dv6g96dabh,Vodacom,sim_only,sim_only,199,,,24,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Imported from Vodacom public deals GraphQL snapshot on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/s/i/sim_card_image.png,"100GB data SIM top-up offer.",both,"{""package"":""80GB Data Top up"",""tariff"":""199"",""source_sku"":""103004940""}"
vodacom:DV6GD24554,vodacom,Vodacom,#E60000,DV6GD24554,Samsung Galaxy Z Flip8 256GB 5G + Samsung 45w Charger + FREE Silicone Magnet Case,dv6gd24554,Samsung,smartphone,device_contract,999,,,36,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Imported from Vodacom public deals GraphQL snapshot on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/1/0/104081516_front_back_1.png,"Samsung Galaxy Z Flip8 deal with charger and case.",both,"{""package"":""RED Core 3GB 100min"",""tariff"":""406"",""device_installment"":""593"",""source_sku"":""100024504""}"
vodacom:DV6GD24720,vodacom,Vodacom,#E60000,DV6GD24720,Samsung Galaxy Z Fold8 256GB 5G + Samsung 45w Charger + FREE Wide Carbon Magnet Case,dv6gd24720,Samsung,smartphone,device_contract,1599,,,36,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Imported from Vodacom public deals GraphQL snapshot on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/1/0/104081473_front_back_2.png,"Samsung Galaxy Z Fold8 deal with charger and case.",both,"{""package"":""RED Core 6GB 250min"",""tariff"":""730"",""device_installment"":""869"",""source_sku"":""100024509""}"
vodacom:DV6GD24242,vodacom,Vodacom,#E60000,DV6GD24242,Samsung Galaxy Z Fold8 Ultra 512GB 5G + Samsung 45w Charger + FREE Carbon Magnet Case,dv6gd24242,Samsung,smartphone,device_contract,1849,,,36,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Imported from Vodacom public deals GraphQL snapshot on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/1/0/104081560_front_back_1.png,"Samsung Galaxy Z Fold8 Ultra deal with charger and case.",both,"{""package"":""RED Core 6GB 250min"",""tariff"":""730"",""device_installment"":""1119"",""source_sku"":""100024507""}"
vodacom:DV6G50DABV,vodacom,Vodacom,#E60000,DV6G50DABV,200GB Data SIM (Top Up),dv6g50dabv,Vodacom,sim_only,sim_only,299,,,24,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Imported from Vodacom public deals GraphQL snapshot on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/s/i/sim_card_image.png,"200GB data SIM top-up offer.",both,"{""package"":""200GB Data Top up"",""tariff"":""299"",""source_sku"":""103004940""}"
vodacom:DV6G50DABW,vodacom,Vodacom,#E60000,DV6G50DABW,400GB Data SIM (Top Up),dv6g50dabw,Vodacom,sim_only,sim_only,399,,,24,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Imported from Vodacom public deals GraphQL snapshot on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,false,https://shop.vodacom.co.za/media/catalog/product/s/i/sim_card_image.png,"400GB data SIM top-up offer.",both,"{""package"":""400GB Data"",""tariff"":""399"",""source_sku"":""103004940""}"
vodacom:DV6GD16599,vodacom,Vodacom,#E60000,DV6GD16599,Apple iPhone 14 128GB 5G (Pre-owned),dv6gd16599,Apple,smartphone,device_contract,399,,,36,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Imported from Vodacom public deals GraphQL snapshot on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,false,https://shop.vodacom.co.za/media/catalog/product/1/0/104076923_front_back.png,"Apple iPhone 14 pre-owned contract deal.",both,"{""package"":""RED Core 1GB 50min"",""tariff"":""276"",""device_installment"":""123"",""source_sku"":""100022883""}"
vodacom:DV6GD16544,vodacom,Vodacom,#E60000,DV6GD16544,Apple iPhone 13 128GB 5G (Pre-Owned),dv6gd16544,Apple,smartphone,device_contract,379,,,36,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Imported from Vodacom public deals GraphQL snapshot on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,false,https://shop.vodacom.co.za/media/catalog/product/1/0/104073023_front_back.png,"Apple iPhone 13 pre-owned contract deal.",both,"{""package"":""RED Core 1GB 50min"",""tariff"":""276"",""device_installment"":""103"",""source_sku"":""100022408""}"
vodacom:DV6G58DAAM,vodacom,Vodacom,#E60000,DV6G58DAAM,Apple iPhone 15 128GB 5G + Apple iPhone 16e 8/128GB,dv6g58daam,Apple,smartphone,device_contract,999,,,36,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Imported from Vodacom public deals GraphQL snapshot on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,false,https://shop.vodacom.co.za/media/catalog/product/1/0/104069160_front_back.png,"Apple double-device deal.",both,"{""package"":""RED Core 1GB 50min"",""tariff"":""276"",""device_installment"":""723"",""source_sku"":""100021503""}"
vodacom:DV6GD18079,vodacom,Vodacom,#E60000,DV6GD18079,Apple iPhone 15 128GB 5G + Apple iPhone 15 128GB 5G,dv6gd18079,Apple,smartphone,device_contract,999,,,36,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Imported from Vodacom public deals GraphQL snapshot on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,false,https://shop.vodacom.co.za/media/catalog/product/1/0/104069160_front_back.png,"Apple iPhone 15 double-device deal.",both,"{""package"":""Red Flexi 170"",""tariff"":""170"",""device_installment"":""829"",""source_sku"":""100021503""}"
vodacom:DV6GD16540,vodacom,Vodacom,#E60000,DV6GD16540,Apple iPhone 15 128GB 5G,dv6gd16540,Apple,smartphone,device_contract,599,,,36,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Imported from Vodacom public deals GraphQL snapshot on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,false,https://shop.vodacom.co.za/media/catalog/product/1/0/104069160_front_back.png,"Apple iPhone 15 contract deal.",both,"{""package"":""RED Core 1GB 50min"",""tariff"":""276"",""device_installment"":""323"",""source_sku"":""100021503""}"
