source_key,network_code,network_name,network_color,sku,product_name,slug,brand,category,deal_type,monthly_price,cash_price,upfront_cost,contract_months,data_mb,voice_minutes,sms_count,speed_mbps,start_at,expires_at,stock_status,source_document,administrator_notes,verified_at,terms_url,published,featured,image_url,description,use_context,specifications_json
vodacom:DV6GD24554,vodacom,Vodacom,#E60000,DV6GD24554,Samsung Galaxy Z Flip8 256GB 5G  + Samsung 45w Charger  + FREE Silicone Magnet Case,dv6gd24554,Samsung,smartphone,device_contract,999,,,,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Vodacom catalogue snapshot fetched on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/s/a/samsung_galaxy_z_flip8_256gb_5g_-_main_1__1.webp?store=shop&image-type=image,RED Core 3GB 100min ,both,"{""package"":""RED Core 3GB 100min "",""tariff"":406,""device_installment"":593,""source_sku"":""100024504"",""gallery"":[{""url"":""https://shop.vodacom.co.za/media/catalog/product/s/a/samsung_galaxy_z_flip8_256gb_5g_-_main_1__1.webp?store=shop&image-type=image"",""label"":""Samsung Galaxy Z Flip8 256GB 5G  + Samsung 45w Charger  + FREE Silicone Magnet Case""},{""url"":""https://shop.vodacom.co.za/media/catalog/product/s/a/samsung_galaxy_z_flip8_256gb_5g_-_main_1__1.webp?store=shop&image-type=small_image"",""label"":""Samsung Galaxy Z Flip8 256GB 5G  + Samsung 45w Charger  + FREE Silicone Magnet Case""}],""storage_options"":[""256GB""]}"
vodacom:DV6GD24720,vodacom,Vodacom,#E60000,DV6GD24720,Samsung Galaxy Z Fold8 256GB 5G  + Samsung 45w Charger  + FREE Wide Carbon Magnet Case,dv6gd24720,Samsung,smartphone,device_contract,1599,,,,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Vodacom catalogue snapshot fetched on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/s/a/samsung_galaxy_z_fold8_256gb_5g_-_main_1__1.jpg?store=shop&image-type=image,RED Core 6GB 250min ,both,"{""package"":""RED Core 6GB 250min "",""tariff"":730,""device_installment"":869,""source_sku"":""100024509"",""gallery"":[{""url"":""https://shop.vodacom.co.za/media/catalog/product/s/a/samsung_galaxy_z_fold8_256gb_5g_-_main_1__1.jpg?store=shop&image-type=image"",""label"":""Samsung Galaxy Z Fold8 256GB 5G  + Samsung 45w Charger  + FREE Wide Carbon Magnet Case""},{""url"":""https://shop.vodacom.co.za/media/catalog/product/s/a/samsung_galaxy_z_fold8_256gb_5g_-_main_1__1.jpg?store=shop&image-type=small_image"",""label"":""Samsung Galaxy Z Fold8 256GB 5G  + Samsung 45w Charger  + FREE Wide Carbon Magnet Case""}],""storage_options"":[""256GB""]}"
vodacom:DV6GD24242,vodacom,Vodacom,#E60000,DV6GD24242,Samsung Galaxy Z Fold8 Ultra 512GB 5G  + Samsung 45w Charger  + FREE Carbon Magnet Case,dv6gd24242,Samsung,smartphone,device_contract,1849,,,,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Vodacom catalogue snapshot fetched on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/s/a/samsung_galaxy_z_fold8_ultra_512gb_5g_-_top_2__1.jpg?store=shop&image-type=image,RED Core 6GB 250min ,both,"{""package"":""RED Core 6GB 250min "",""tariff"":730,""device_installment"":1119,""source_sku"":""100024507"",""gallery"":[{""url"":""https://shop.vodacom.co.za/media/catalog/product/s/a/samsung_galaxy_z_fold8_ultra_512gb_5g_-_top_2__1.jpg?store=shop&image-type=image"",""label"":""Samsung Galaxy Z Fold8 Ultra 512GB 5G  + Samsung 45w Charger  + FREE Carbon Magnet Case""},{""url"":""https://shop.vodacom.co.za/media/catalog/product/s/a/samsung_galaxy_z_fold8_ultra_512gb_5g_-_top_2__1.jpg?store=shop&image-type=small_image"",""label"":""Samsung Galaxy Z Fold8 Ultra 512GB 5G  + Samsung 45w Charger  + FREE Carbon Magnet Case""}],""storage_options"":[""512GB""]}"
vodacom:DV6HB00243,vodacom,Vodacom,#E60000,DV6HB00243,HONOR Pad X7 Wi-Fi 128GB with Cover + CHOICE MouseBuds  + 15GB Data SIM + HUAWEI E5783-230A CAT7 Mi-Fi Router  (Top Up),dv6hb00243,Honor,sim_only,sim_only,249,,,,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Vodacom catalogue snapshot fetched on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png,15GB Data Top up,both,"{""package"":""15GB Data Top up"",""tariff"":129,""device_installment"":120,""source_sku"":""100023566"",""gallery"":[{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png"",""label"":""HONOR Pad X7 Wi-Fi 128GB with Cover + CHOICE MouseBuds  + 15GB Data SIM + HUAWEI E5783-230A CAT7 Mi-Fi Router  (Top Up)""},{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image_1.png"",""label"":""HONOR Pad X7 Wi-Fi 128GB with Cover + CHOICE MouseBuds  + 15GB Data SIM + HUAWEI E5783-230A CAT7 Mi-Fi Router  (Top Up)""}],""storage_options"":[""128GB""]}"
vodacom:DV6HB00028,vodacom,Vodacom,#E60000,DV6HB00028,Samsung Galaxy A27 128GB 5G,dv6hb00028,Samsung,smartphone,device_contract,329,,,,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Vodacom catalogue snapshot fetched on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png,RED Core 1GB 50min ,both,"{""package"":""RED Core 1GB 50min "",""tariff"":276,""device_installment"":53,""source_sku"":""100024159"",""gallery"":[{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png"",""label"":""Samsung Galaxy A27 128GB 5G""},{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image_1.png"",""label"":""Samsung Galaxy A27 128GB 5G""}],""storage_options"":[""128GB""]}"
vodacom:DV6HB00203,vodacom,Vodacom,#E60000,DV6HB00203,HONOR Pad X9a 128GB 4G with KeyBoard + CHOICE MouseBuds   (Top Up),dv6hb00203,Honor,tablet,device_contract,349,,,,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Vodacom catalogue snapshot fetched on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png,15GB Data Top up,both,"{""package"":""15GB Data Top up"",""tariff"":129,""device_installment"":220,""source_sku"":""100023697"",""gallery"":[{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png"",""label"":""HONOR Pad X9a 128GB 4G with KeyBoard + CHOICE MouseBuds   (Top Up)""},{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image_1.png"",""label"":""HONOR Pad X9a 128GB 4G with KeyBoard + CHOICE MouseBuds   (Top Up)""}],""storage_options"":[""128GB""]}"
vodacom:DV6HB00230,vodacom,Vodacom,#E60000,DV6HB00230,Redmi 17 256GB 4G + Redmi Buds 6 Active + Smart Band 9 Active,dv6hb00230,Redmi,accessory,accessory,399,,,,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Vodacom catalogue snapshot fetched on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png,RED Core 1GB 50min ,both,"{""package"":""RED Core 1GB 50min "",""tariff"":276,""device_installment"":123,""source_sku"":""100024698"",""gallery"":[{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png"",""label"":""Redmi 17 256GB 4G + Redmi Buds 6 Active + Smart Band 9 Active""},{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image_1.png"",""label"":""Redmi 17 256GB 4G + Redmi Buds 6 Active + Smart Band 9 Active""}],""storage_options"":[""256GB""]}"
vodacom:DV6HB00029,vodacom,Vodacom,#E60000,DV6HB00029,Samsung Galaxy A27 128GB 5G,dv6hb00029,Samsung,smartphone,device_contract,449,,,,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Vodacom catalogue snapshot fetched on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,true,https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png,RED Core 3GB 100min ,both,"{""package"":""RED Core 3GB 100min "",""tariff"":406,""device_installment"":43,""source_sku"":""100024159"",""gallery"":[{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png"",""label"":""Samsung Galaxy A27 128GB 5G""},{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image_1.png"",""label"":""Samsung Galaxy A27 128GB 5G""}],""storage_options"":[""128GB""]}"
vodacom:DV6HB00231,vodacom,Vodacom,#E60000,DV6HB00231,Redmi 17 256GB 4G + Redmi Buds 6 Active + Smart Band 9 Active,dv6hb00231,Redmi,accessory,accessory,519,,,,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Vodacom catalogue snapshot fetched on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,false,https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png,RED Core 3GB 100min ,both,"{""package"":""RED Core 3GB 100min "",""tariff"":406,""device_installment"":113,""source_sku"":""100024698"",""gallery"":[{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png"",""label"":""Redmi 17 256GB 4G + Redmi Buds 6 Active + Smart Band 9 Active""},{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image_1.png"",""label"":""Redmi 17 256GB 4G + Redmi Buds 6 Active + Smart Band 9 Active""}],""storage_options"":[""256GB""]}"
vodacom:DV6HB00240,vodacom,Vodacom,#E60000,DV6HB00240,Apple iPad 11-inch Wi-Fi 128GB (A16 chip) + AirPods 4 + 15GB Data SIM + HUAWEI E5783-230A CAT7 Mi-Fi Router  (Top Up),dv6hb00240,Apple,sim_only,sim_only,549,,,,,,,,,,in_stock,https://www.vodacom.co.za/shopping/deals,"Vodacom catalogue snapshot fetched on 2026-08-06; confirm partner pricing, stock, and terms before fulfilment.",2026-08-06T00:00:00Z,https://www.vodacom.co.za/shopping/deals,true,false,https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png,15GB Data Top up,both,"{""package"":""15GB Data Top up"",""tariff"":129,""device_installment"":420,""source_sku"":""100023000"",""gallery"":[{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image.png"",""label"":""Apple iPad 11-inch Wi-Fi 128GB (A16 chip) + AirPods 4 + 15GB Data SIM + HUAWEI E5783-230A CAT7 Mi-Fi Router  (Top Up)""},{""url"":""https://shop.vodacom.co.za/media/catalog/product/placeholder/stores/8/No_image_1.png"",""label"":""Apple iPad 11-inch Wi-Fi 128GB (A16 chip) + AirPods 4 + 15GB Data SIM + HUAWEI E5783-230A CAT7 Mi-Fi Router  (Top Up)""}],""storage_options"":[""128GB""]}"
